"metreCarre","nombreDeChambres","possedeCour","possedePiscine","richesseQuartier","nombrePrecedentProprio","annee","estNouveau","possedeProtectionTempête","sousSol","grenier","garage","possedeStockage","prix"
40440,48,0,0,4,6,413,1,1,672,2704,532,1,3234723.3
73611,66,0,1,3,7,427,0,0,1769,9857,381,1,8793354.7
52938,20,0,0,1,8,412,0,0,8487,3346,709,0,6457482.2
20013,16,0,1,10,1,404,1,1,189,2178,518,0,663660.4
15853,68,1,1,6,10,409,0,1,1684,923,886,0,4313756.9
71272,90,1,0,9,9,403,0,1,6969,1225,442,0,8160905.3
69420,41,1,1,6,7,431,1,1,3804,5895,243,0,5653890.1
98867,41,1,1,3,3,413,0,0,1740,219,819,0,9157875.3
48062,35,1,1,4,6,429,1,0,7920,5846,392,1,6236152.9
90349,3,0,0,7,7,428,0,1,8601,2661,190,0,8818402.8
67108,84,0,0,9,3,409,1,1,7805,362,427,1,4726810.9
40903,80,1,0,4,9,408,1,1,283,3242,991,1,4023335.8
60447,89,1,1,9,7,427,0,1,1537,1290,112,0,8273795.7
40279,4,0,1,6,8,419,1,0,9879,1244,276,0,3600448.9
55975,19,1,0,2,5,411,0,0,6595,9458,709,0,5720788.1
58569,74,0,1,5,8,430,1,1,867,5460,215,0,5564448
92731,83,0,1,10,8,412,1,1,8084,9278,847,1,6664920.2
9780,41,0,1,8,9,408,1,0,6656,7128,579,0,3063030.8
92614,14,1,0,4,1,429,0,1,6320,8501,380,1,9956712.9
50119,54,0,1,7,9,425,1,1,9419,4871,376,1,7287721.5
38617,57,1,0,1,4,401,1,1,1877,3856,169,0,3275735.1
57955,50,1,0,10,9,401,0,1,8604,7168,109,1,7436179.1
65403,82,1,0,7,6,405,1,0,5336,8216,634,0,7585467.5
35131,19,1,0,4,4,423,1,0,1297,3077,944,0,3390907.3
31475,15,1,0,1,9,422,1,0,880,9484,460,1,4302940.2
48458,88,0,1,7,2,415,0,0,6294,9630,655,1,2882833.5
70706,12,0,0,3,7,410,0,0,7507,9056,892,1,9244344
74589,94,1,1,6,10,406,0,0,4499,8758,756,0,7864283.6
92353,39,1,1,1,1,420,1,0,1864,7586,402,0,7169029
-4510,100,1,1,4,10,400,0,0,5959,1045,274,0,2510161
37611,74,1,0,7,1,412,0,0,2341,1149,439,1,6571168.2
61696,42,0,0,1,2,407,1,0,7322,8751,260,0,6372039.7
-3703,4,1,0,2,7,400,1,1,5500,1362,185,1,143541
85072,3,0,1,6,4,413,0,1,5764,2640,330,0,6508789.3
72017,15,1,1,9,10,430,1,0,6110,1203,319,0,4943111
69934,3,0,0,3,10,429,1,1,7131,9518,676,0,7054127.9
21738,25,1,0,3,6,410,1,0,2306,1714,802,1,2118884
67756,60,1,1,3,3,402,0,1,3427,5598,209,1,7492714.2
78292,43,0,1,6,8,400,0,0,414,7680,381,0,7948637
57952,82,0,1,10,2,405,1,1,274,720,947,1,6479107.5
77576,60,1,1,4,8,403,1,0,4817,5222,927,0,6714247.3
-18883,26,1,0,4,8,401,0,1,3549,4686,574,0,876659.1
33856,95,1,1,10,5,412,1,0,8063,8651,626,0,3668071.2
67789,47,0,1,9,8,414,0,1,282,3615,956,0,8426342.4
8925,54,0,0,5,9,424,1,0,4957,5927,690,0,740586.4
61449,46,1,1,9,5,414,1,0,7515,891,377,0,7017698.4
23945,66,1,1,8,3,413,1,0,9224,8809,502,1,1431647.3
62410,34,1,0,9,6,413,0,1,4015,8403,425,0,7497502.3
69980,82,1,0,8,5,416,1,0,757,5072,844,1,6973812.6
29688,42,1,0,9,7,413,1,0,299,2376,200,1,2944295.3
69671,68,1,0,10,2,405,0,1,9355,3902,792,0,9368510.5
17390,61,0,1,3,5,408,0,1,2631,1246,329,0,1785818.8
64375,87,1,1,4,4,430,1,1,1091,4844,629,1,8143861
60929,57,0,0,6,5,407,1,0,1768,1809,924,0,4660099.7
58988,73,1,1,1,6,401,1,1,2551,2992,731,0,5133121.1
